Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-07-30,AXISBANK,EQ,720.25,725.95,728,701,702.4,707.6,713.26,14100900,1.00575E+15,198050,5756301,0.4082
2019-07-30,HDFCBANK,EQ,2244.3,2255,2271.2,2239.9,2254.8,2252.25,2255.35,2598534,5.86061E+14,122826,1628613,0.6267
2019-07-31,AXISBANK,EQ,707.6,694,694.9,657.8,674.8,674.1,678.44,55836793,3.78818E+15,770467,24828852,0.4447
2019-07-31,ICICIBANK,EQ,425.35,423.9,430.2,421.2,425.85,424.6,425.24,22329888,9.49561E+14,194617,11963104,0.5357
2019-07-31,HDFCBANK,EQ,2252.25,2240,2267,2234.25,2249.6,2251.65,2249.21,3472960,7.81141E+14,158165,2516586,0.7246
2019-08-01,ICICIBANK,EQ,424.6,423.25,426.35,410.65,418.65,417.05,419.1,18269866,7.65682E+14,193930,8001888,0.438
2019-08-01,AXISBANK,EQ,674.1,673.95,680.75,662.65,671.3,669.3,670.87,17001210,1.14057E+15,304235,9199983,0.5411
2019-08-01,HDFCBANK,EQ,2251.65,2229.1,2240,2197,2225,2221.8,2220.25,4560419,1.01253E+15,143216,3007966,0.6596
2019-08-02,ICICIBANK,EQ,417.05,413.9,417.85,405.5,411,410.6,410.35,30939803,1.26961E+15,243291,15946853,0.5154
2019-08-02,AXISBANK,EQ,669.3,667.4,681.65,661.6,672.1,673.85,672.36,14426295,9.6997E+14,204030,6746730,0.4677
2019-08-02,HDFCBANK,EQ,2221.8,2211,2224,2182,2220,2214.35,2201.32,6956384,1.53132E+15,177396,4270484,0.6139
2019-08-05,ICICIBANK,EQ,410.6,403.65,406.65,395.75,403.05,402.65,401.22,25033370,1.00439E+15,242846,12532641,0.5006
2019-08-05,AXISBANK,EQ,673.85,665.5,669.35,650.2,660.35,662.45,660,13042504,8.60805E+14,347923,6842327,0.5246
2019-08-05,HDFCBANK,EQ,2214.35,2197.05,2200,2162.5,2174.6,2179.25,2177.33,4955610,1.079E+15,208438,3086735,0.6229
2019-08-06,ICICIBANK,EQ,402.65,401,411.5,400.9,410.55,410.25,408.32,30665326,1.25212E+15,301347,17482959,0.5701
2019-08-06,AXISBANK,EQ,662.45,658.7,682.85,654,678.4,679,673.72,12419831,8.36744E+14,343217,6315114,0.5085
2019-08-06,HDFCBANK,EQ,2179.25,2167,2210.25,2167,2183,2189.1,2186.84,6222735,1.36081E+15,208507,4156077,0.6679
2019-08-07,ICICIBANK,EQ,410.25,409.3,415,406.3,407.4,408.4,411.55,20977349,8.63324E+14,154794,10553516,0.5031
2019-08-07,AXISBANK,EQ,679,679,679.5,654.25,659.6,659.95,669.08,10486156,7.01607E+14,217396,5200567,0.4959
2019-08-07,HDFCBANK,EQ,2189.1,2190,2202,2165,2180,2184,2188.35,4687534,1.0258E+15,160175,3209697,0.6847
2019-08-08,ICICIBANK,EQ,408.4,411,416.6,404.15,416.25,414.4,409.14,19046657,7.79271E+14,154895,9871677,0.5183
2019-08-08,AXISBANK,EQ,659.95,660.6,664.3,643.2,661.4,660.1,651.07,17563795,1.14353E+15,275809,9413699,0.536
2019-08-08,HDFCBANK,EQ,2184,2198,2243,2183,2239.8,2233.15,2212.99,4927900,1.09054E+15,192860,3233599,0.6562
